,Snap,z,Age,LBTime
0,99,0.0,13.802819,0.0
1,98,0.009522,13.666329,0.13649
2,97,0.023974,13.462742,0.340077
3,96,0.033724,13.327794,0.475025
4,95,0.048524,13.126561,0.676258
5,94,0.058507,12.993212,0.809607
6,93,0.073661,12.794419,1.0084
7,92,0.083884,12.662724,1.140095
8,91,0.099402,12.466454,1.336365
9,90,0.10987,12.336469,1.46635
10,89,0.125759,12.142804,1.660015
11,88,0.141876,11.950741,1.852078
12,87,0.152749,11.823602,1.979217
13,86,0.169252,11.634269,2.16855
14,85,0.180385,11.508976,2.293843
15,84,0.197284,11.32245,2.480369
16,83,0.214425,11.137642,2.665177
17,82,0.225988,11.015405,2.787414
18,81,0.24354,10.833517,2.969302
19,80,0.261343,10.653412,3.149407
20,79,0.273353,10.534345,3.268474
21,78,0.297718,10.298646,3.504173
22,77,0.310074,10.182027,3.620792
23,76,0.32883,10.008651,3.794168
24,75,0.347854,9.837158,3.965661
25,74,0.360688,9.723884,4.078935
26,73,0.380168,9.555567,4.247252
27,72,0.399927,9.389178,4.413641
28,71,0.419969,9.224732,4.578087
29,70,0.440298,9.062243,4.740576
30,69,0.460918,8.901722,4.901097
31,68,0.481833,8.743182,5.059637
32,67,0.503048,8.586632,5.216187
33,66,0.524566,8.432081,5.370738
34,65,0.546392,8.279538,5.523281
35,64,0.575981,8.079279,5.72354
36,63,0.598543,7.93144,5.871379
37,62,0.621429,7.785623,6.017196
38,61,0.644642,7.641832,6.160987
39,60,0.67611,7.45326,6.349559
40,59,0.700106,7.314194,6.488625
41,58,0.732636,7.131918,6.670901
42,57,0.757441,6.997566,6.805253
43,56,0.791068,6.821561,6.981258
44,55,0.81671,6.691897,7.110922
45,54,0.851471,6.522119,7.2807
46,53,0.886897,6.355871,7.446948
47,52,0.923001,6.193132,7.609687
48,51,0.950531,6.073364,7.729455
49,50,0.997294,5.878068,7.924751
50,49,1.03551,5.725682,8.077137
51,48,1.074458,5.576682,8.226137
52,47,1.114151,5.43103,8.371789
53,46,1.154603,5.288689,8.51413
54,45,1.206258,5.115354,8.687465
55,44,1.248473,4.980306,8.822513
56,43,1.302378,4.815949,8.98687
57,42,1.357577,4.656455,9.146364
58,41,1.414098,4.501729,9.30109
59,40,1.495512,4.292939,9.50988
60,39,1.531239,4.206193,9.596626
61,38,1.604235,4.037511,9.765308
62,37,1.66667,3.901735,9.901084
63,36,1.743571,3.744403,10.058416
64,35,1.822689,3.593009,10.20981
65,34,1.90409,3.447374,10.355445
66,33,2.002028,3.284507,10.518312
67,32,2.10327,3.128954,10.673865
68,31,2.207925,2.980437,10.822382
69,30,2.316111,2.838681,10.964138
70,29,2.444226,2.684607,11.118212
71,28,2.57729,2.538618,11.264201
72,27,2.733143,2.383569,11.41925
73,26,2.895785,2.237743,11.565076
74,25,3.008131,2.145398,11.657421
75,24,3.283033,1.944184,11.858635
76,23,3.490861,1.811915,11.990904
77,22,3.708774,1.688509,12.11431
78,21,4.007945,1.540402,12.262417
79,20,4.176835,1.466045,12.336774
80,19,4.428034,1.365945,12.436874
81,18,4.664518,1.28166,12.521159
82,17,4.995933,1.177255,12.625564
83,16,5.227581,1.11239,12.690429
84,15,5.529766,1.036282,12.766537
85,14,5.846614,0.965356,12.837463
86,13,6.010757,0.931726,12.871093
87,12,6.491598,0.843642,12.959177
88,11,7.005417,0.763859,13.03896
89,10,7.236276,0.732013,13.070806
90,9,7.595107,0.686709,13.11611
91,8,8.012173,0.639645,13.163174
92,7,8.449476,0.595801,13.207018
93,6,9.00234,0.54713,13.255689
94,5,9.388771,0.516909,13.28591
95,4,9.99659,0.474674,13.328145
96,3,10.975643,0.417697,13.385122
97,2,11.980213,0.370175,13.432644
98,1,14.989173,0.270786,13.532033
99,0,20.046491,0.179315,13.623504
